Key;Flow Name;Producer Model;Producer port;Producer operator;Signal Name;Consumer Model;Consumer port;Consumer Operator;Priority;Automatic Choice Available;Automatic Choice;Manual Choice;Comment
EIU/1/Engine2_Running2;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;Engine2_Running2;EIU/1;Engine2_Running2;;1;Connection Over Empty;;;
EIU/1/Engine2_Running2;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;BMC/2;ARO_RH_Eng_running;;ARO_RH_Eng_running_BMC_2;EIU/1;Engine2_Running2;;2;Connection Over Empty;X;;
EIU/1/Engine2_TCM_For_Flare_FCU;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;Engine2_TCM_For_Flare_FCU;EIU/1;Engine2_TCM_For_Flare_FCU;;1;Priority;X;;
EIU/1/Engine2_TCM_For_Flare_FCU;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;;;;OUT_BTCM2;EIU/1;Engine2_TCM_For_Flare_FCU;;2;Priority;;;
EIU/1/Essencial115VAC_XP401;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;Essencial115VAC_XP401;EIU/1;Essencial115VAC_XP401;;1;Connection Over Empty;;;
EIU/1/Essencial115VAC_XP401;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;syelec/1;EP401XP;;EP401XP;EIU/1;Essencial115VAC_XP401;;2;Connection Over Empty;X;;
EIU/1/Essencial28VDC_PP401;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;Essencial28VDC_PP401;EIU/1;Essencial28VDC_PP401;;1;Connection Over Empty;;;
EIU/1/Essencial28VDC_PP401;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;syelec/1;EP401PP;;EP401PP;EIU/1;Essencial28VDC_PP401;;2;Connection Over Empty;X;;
EIU/1/FADEC_Soft_GA_Act;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;FADEC_Soft_GA_Act;EIU/1;FADEC_Soft_GA_Act;;1;Priority;X;;
EIU/1/FADEC_Soft_GA_Act;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;;;;OUT_BSGAENG;EIU/1;FADEC_Soft_GA_Act;;2;Priority;;;
EIU/1/K1_in;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;K1_in;EIU/1;K1_in;;1;Connection Over Empty;;;
EIU/1/K1_in;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;sycond/1;ACSC2_a4_b_label061_bit12_K1;;ACSC2_a4_b_label061_bit12_K1;EIU/1;K1_in;;2;Connection Over Empty;X;;
EIU/1/K2_in;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;K2_in;EIU/1;K2_in;;1;Connection Over Empty;;;
EIU/1/K2_in;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;sycond/1;ACSC2_a4_b_label061_bit13_K2;;ACSC2_a4_b_label061_bit13_K2;EIU/1;K2_in;;2;Connection Over Empty;X;;
EIU/1/K3_in;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;K3_in;EIU/1;K3_in;;1;Connection Over Empty;;;
EIU/1/K3_in;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;sycond/1;ACSC2_a4_b_label061_bit14_K3;;ACSC2_a4_b_label061_bit14_K3;EIU/1;K3_in;;2;Connection Over Empty;X;;
EIU/1/K4_in;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;K4_in;EIU/1;K4_in;;1;Connection Over Empty;;;
