EIU/2;SSM_oA429_Bus_A_346;adc/1;ADRIN_a4_s_N1_actual_status_EIU2B;
lgcium/1;M021LGC1;adc/1;ADRIN_a4_s_Landing_Gear_Compressed_Main_status_1;
lgcium/1;M021LGC2;adc/1;ADRIN_a4_s_Landing_Gear_Compressed_Main_status_2;
lgcium/1;M020LGC1;adc/1;ADRIN_a4_s_L020_DOORS_1;
lgcium/1;M020LGC2;adc/1;ADRIN_a4_s_L020_DOORS_2;
lgcium/1;M022LGC1;adc/1;ADRIN_a4_s_L022_DOORS_1;
lgcium/1;M022LGC2;adc/1;ADRIN_a4_s_L022_DOORS_2;
lgcium/1;M023LGC1;adc/1;ADRIN_a4_s_L023_DOORS_1;
lgcium/1;M023LGC2;adc/1;ADRIN_a4_s_L023_DOORS_2;
adc/1;ADR1OUT_a4_b_352_B24_AC_id_code_1;format_adc/1;ADR1OUT_a4_b_352_B24_AC_id_code_1;
adc/1;ADR2OUT_a4_b_352_B24_AC_id_code_1;format_adc/1;ADR2OUT_a4_b_352_B24_AC_id_code_1;
adc/1;ADR3OUT_a4_b_352_B24_AC_id_code_1;format_adc/1;ADR3OUT_a4_b_352_B24_AC_id_code_1;
adc/1;ADR1OUT_a4_b_352_B25_AC_id_code_2;format_adc/1;ADR1OUT_a4_b_352_B25_AC_id_code_2;
adc/1;ADR2OUT_a4_b_352_B25_AC_id_code_2;format_adc/1;ADR2OUT_a4_b_352_B25_AC_id_code_2;
adc/1;ADR3OUT_a4_b_352_B25_AC_id_code_2;format_adc/1;ADR3OUT_a4_b_352_B25_AC_id_code_2;
adc/1;ADR1OUT_a4_b_352_B26_AC_id_code_4;format_adc/1;ADR1OUT_a4_b_352_B26_AC_id_code_4;
adc/1;ADR2OUT_a4_b_352_B26_AC_id_code_4;format_adc/1;ADR2OUT_a4_b_352_B26_AC_id_code_4;
adc/1;ADR3OUT_a4_b_352_B26_AC_id_code_4;format_adc/1;ADR3OUT_a4_b_352_B26_AC_id_code_4;
adc/1;ADR1OUT_a4_b_352_B27_AC_id_code_8;format_adc/1;ADR1OUT_a4_b_352_B27_AC_id_code_8;
adc/1;ADR2OUT_a4_b_352_B27_AC_id_code_8;format_adc/1;ADR2OUT_a4_b_352_B27_AC_id_code_8;
adc/1;ADR3OUT_a4_b_352_B27_AC_id_code_8;format_adc/1;ADR3OUT_a4_b_352_B27_AC_id_code_8;
adc/1;ADR1OUT_a4_b_352_B28_AC_id_code_16;format_adc/1;ADR1OUT_a4_b_352_B28_AC_id_code_16;
adc/1;ADR2OUT_a4_b_352_B28_AC_id_code_16;format_adc/1;ADR2OUT_a4_b_352_B28_AC_id_code_16;
adc/1;ADR3OUT_a4_b_352_B28_AC_id_code_16;format_adc/1;ADR3OUT_a4_b_352_B28_AC_id_code_16;
adc/1;ADR1OUT_a4_b_352_B11_AC_id_code_32;format_adc/1;ADR1OUT_a4_b_352_B11_AC_id_code_32;
adc/1;ADR2OUT_a4_b_352_B11_AC_id_code_32;format_adc/1;ADR2OUT_a4_b_352_B11_AC_id_code_32;
adc/1;ADR3OUT_a4_b_352_B11_AC_id_code_32;format_adc/1;ADR3OUT_a4_b_352_B11_AC_id_code_32;
adc/1;ADR1OUT_a4_b_352_B12_AC_id_code_64;format_adc/1;ADR1OUT_a4_b_352_B12_AC_id_code_64;
adc/1;ADR2OUT_a4_b_352_B12_AC_id_code_64;format_adc/1;ADR2OUT_a4_b_352_B12_AC_id_code_64;
adc/1;ADR3OUT_a4_b_352_B12_AC_id_code_64;format_adc/1;ADR3OUT_a4_b_352_B12_AC_id_code_64;
adc/1;ADR1OUT_a4_b_352_B29_AC_id_code_parity;format_adc/1;ADR1OUT_a4_b_352_B29_AC_id_code_parity;
adc/1;ADR2OUT_a4_b_352_B29_AC_id_code_parity;format_adc/1;ADR2OUT_a4_b_352_B29_AC_id_code_parity;
adc/1;ADR3OUT_a4_b_352_B29_AC_id_code_parity;format_adc/1;ADR3OUT_a4_b_352_B29_AC_id_code_parity;
adc/1;ADR1OUT_a4_s_352;format_adc/1;ADR1OUT_a4_s_352;
adc/1;ADR2OUT_a4_s_352;format_adc/1;ADR2OUT_a4_s_352;
adc/1;ADR3OUT_a4_s_352;format_adc/1;ADR3OUT_a4_s_352;
NFL/1;ask1_es_f_out_zp;adp/1;Zp;
NFL/1;ask2_es_d_out_h;NFL/1;ask1_es_d_in_h;
NFL/1;ask2_es_d_out_h;NFL/1;ask1_es_d_in_h;
NFL/1;ask2_es_f_out_V_Earth;NFL/1;ask1_es_f_in_V_Earth;
NFL/1;ask2_es_f_out_zp;NFL/1;ask1_es_f_in_zp;
